Date,Adj Close
1/2/15,64.592644
1/5/15,64.178307
1/6/15,64.05648
1/7/15,65.396896
1/8/15,66.428635
1/9/15,66.30677
1/12/15,66.225525
1/13/15,66.07119
1/14/15,66.331154
1/15/15,66.314903
1/16/15,67.127289
1/20/15,66.623604
1/21/15,66.095566
1/22/15,69.25573
1/23/15,70.539299
1/26/15,71.530411
1/27/15,71.327293
1/28/15,70.807381
1/29/15,70.48243
1/30/15,70.279327
2/2/15,70.157486
2/3/15,70.872353
2/4/15,70.084351
2/5/15,70.458069
2/6/15,70.401192
2/9/15,70.019356
2/10/15,70.815498
2/11/15,70.823616
2/12/15,71.156708
2/13/15,71.489792
2/17/15,71.164825
2/18/15,71.652252
2/19/15,71.319206
2/20/15,72.066574
2/23/15,71.408562
2/24/15,70.523048
2/25/15,70.336205
2/26/15,69.938126
2/27/15,70.116859
3/2/15,70.181854
3/3/15,70.108719
3/4/15,69.718803
3/5/15,70.076218
3/6/15,69.085144
3/9/15,69.458847
3/10/15,68.703308
3/11/15,68.987648
3/12/15,69.824402
3/13/15,68.979515
3/16/15,69.70253
3/17/15,69.475067
3/18/15,70.902306
3/19/15,70.418358
3/20/15,71.197586
3/23/15,70.746475
3/24/15,70.410156
3/25/15,69.425858
3/26/15,69.401268
3/27/15,69.565277
3/30/15,69.220795
3/31/15,67.703323
4/1/15,68.671227
4/2/15,69.023949
4/6/15,69.671921
4/7/15,70.270699
4/8/15,70.024643
4/9/15,69.835999
4/10/15,69.466866
4/13/15,69.721138
4/14/15,70.041039
4/15/15,70.418358
4/16/15,70.541389
4/17/15,70.410156
4/20/15,70.894119
4/21/15,70.369148
4/22/15,70.5578
4/23/15,71.066322
4/24/15,70.524994
4/27/15,69.721138
4/28/15,70.287117
4/29/15,69.384865
4/30/15,68.515381
5/1/15,68.220085
5/4/15,68.179085
5/5/15,66.948708
5/6/15,67.309608
5/7/15,67.760742
5/8/15,68.630211
5/11/15,67.834579
5/12/15,68.039635
5/13/15,67.539276
5/14/15,67.900192
5/15/15,68.736847
5/18/15,68.564575
5/19/15,68.884491
5/20/15,67.990417
5/21/15,67.326012
5/22/15,67.309608
5/26/15,67.194763
5/27/15,67.219406
5/28/15,67.481873
5/29/15,66.891296
6/1/15,67.473671
6/2/15,67.547493
6/3/15,67.235794
6/4/15,68.630211
6/5/15,67.900192
6/8/15,67.744354
6/9/15,67.244003
6/10/15,67.473671
6/11/15,68.023232
6/12/15,67.834579
6/15/15,67.785378
6/16/15,68.023232
6/17/15,68.429169
6/18/15,69.174767
6/19/15,68.586563
6/22/15,68.478882
6/23/15,68.611443
6/24/15,68.106056
6/25/15,67.865822
6/26/15,67.551018
6/29/15,66.656311
6/30/15,66.523766
7/1/15,67.161652
7/2/15,67.194794
7/6/15,66.904839
7/7/15,67.642151
7/8/15,66.706017
7/9/15,66.639748
7/10/15,67.38533
7/13/15,67.012535
7/14/15,67.542747
7/15/15,67.302483
7/16/15,67.675285
7/17/15,67.178207
7/20/15,67.92382
7/21/15,66.929688
7/22/15,66.780571
7/23/15,68.975945
7/24/15,68.288338
7/27/15,68.396034
7/28/15,68.147507
7/29/15,68.031517
7/30/15,67.493042
7/31/15,67.857529
